index,time,type,process,f,value,error,time_seconds,time_diff_seconds
188,3977239011,fail,6.0,cas,0,,3.977239011,3.8067000000197027e-05
189,3977331754,invoke,1.0,read,0,,3.977331754,9.274300000017277e-05
190,3983973814,ok,5.0,write,0,,3.983973814,0.006642059999999894
191,3985457422,ok,0.0,read,0,,3.985457422,0.0014836080000000251
192,3985494413,ok,2.0,read,0,,3.985494413,3.699099999998623e-05
193,3985516085,ok,8.0,write,0,,3.985516085,2.167199999991709e-05
194,3985536228,ok,4.0,read,0,,3.985536228,2.014299999997249e-05
195,3985555373,fail,9.0,cas,0,,3.985555373,1.914499999999819e-05
196,3985576934,invoke,5.0,cas,0,,3.985576934,2.1561000000058783e-05
197,3985954654,ok,3.0,read,0,,3.985954654,0.0003777199999999148
198,3985986419,invoke,6.0,cas,0,,3.985986419,3.176500000012794e-05
199,3986300917,invoke,7.0,cas,0,,3.986300917,0.00031449799999982986
200,3991184232,invoke,4.0,read,0,,3.991184232,0.004883315000000277
201,3995780198,invoke,0.0,read,0,,3.995780198,0.004595965999999674
202,3997324336,fail,7.0,cas,0,,3.997324336,0.0015441380000003058
203,3997393914,invoke,7.0,cas,0,,3.997393914,6.957799999973702e-05
204,3997747257,ok,1.0,read,0,,3.997747257,0.00035334300000000596
205,4000357327,fail,6.0,cas,0,,4.000357327,0.002610069999999798
206,4000711300,fail,5.0,cas,0,,4.0007113,0.00035397300000017395
207,4000881864,invoke,8.0,cas,0,,4.000881864,0.00017056400000026173
208,4002751659,invoke,1.0,read,0,,4.002751659,0.001869795000000174
209,4006820216,ok,4.0,read,0,,4.006820216,0.004068557000000084
210,4007036526,invoke,2.0,read,0,,4.007036526,0.00021630999999988632
211,4008664654,invoke,5.0,cas,0,,4.008664654,0.0016281280000001175
212,4009226440,invoke,3.0,read,0,,4.00922644,0.0005617859999995645
213,4014213376,invoke,4.0,read,0,,4.014213376,0.004986935999999886
214,4017158516,ok,0.0,read,0,,4.017158516,0.002945140000000457
215,4017261801,ok,1.0,read,0,,4.017261801,0.00010328499999978646
216,4017298684,fail,7.0,cas,0,,4.017298684,3.6882999999932053e-05
217,4017330180,invoke,0.0,read,0,,4.01733018,3.149600000007524e-05
218,4022249943,fail,8.0,cas,0,,4.022249943,0.004919763000000188
219,4022459748,ok,3.0,read,0,,4.022459748,0.00020980499999989632
220,4022540113,fail,5.0,cas,0,,4.022540113,8.036499999963809e-05
221,4022583069,invoke,3.0,read,0,,4.022583069,4.295600000059352e-05
222,4026304364,ok,2.0,read,0,,4.026304364,0.0037212949999991807
223,4026452250,invoke,1.0,read,0,,4.02645225,0.0001478860000005966
224,4028062982,invoke,2.0,read,0,,4.028062982,0.001610731999999615
225,4028890722,invoke,6.0,write,0,,4.028890722,0.0008277400000000767
226,4029832332,ok,0.0,read,0,,4.029832332,0.0009416099999999261
227,4032784957,invoke,0.0,read,0,,4.032784957,0.00295262499999982
228,4033350199,invoke,8.0,write,0,,4.033350199,0.0005652420000004099
229,4035084770,ok,4.0,read,0,,4.03508477,0.0017345710000000736
230,4035596950,invoke,9.0,cas,0,,4.03559695,0.0005121800000003063
231,4038433894,invoke,5.0,cas,0,,4.038433894,0.0028369439999993418
232,4042500637,ok,1.0,read,0,,4.042500637,0.004066743000000095
233,4042661082,ok,3.0,read,0,,4.042661082,0.00016044500000056416
234,4042730089,ok,6.0,write,0,,4.042730089,6.900699999956572e-05
235,4042773354,invoke,6.0,write,0,,4.042773354,4.326500000040312e-05
236,4046844110,invoke,7.0,cas,0,,4.04684411,0.004070755999999953
237,4049458351,invoke,3.0,read,0,,4.049458351,0.0026142409999998506
238,4052808977,ok,2.0,read,0,,4.052808977,0.003350625999999579
239,4053746544,invoke,4.0,read,0,,4.053746544,0.0009375670000002501
240,4055523981,invoke,1.0,read,0,,4.055523981,0.001777437000000326
241,4056886510,ok,0.0,read,0,,4.05688651,0.0013625289999996681
242,4056973263,ok,8.0,write,0,,4.056973263,8.675299999971742e-05
243,4058018211,invoke,8.0,cas,0,,4.058018211,0.001044948000000545
244,4060704346,fail,5.0,cas,0,,4.060704346,0.0026861349999993678
245,4060940384,invoke,5.0,write,0,,4.060940384,0.0002360380000006046
246,4062444875,invoke,0.0,read,0,,4.062444875,0.001504490999999497
247,4066376595,invoke,2.0,read,0,,4.066376595,0.003931720000000638
248,4066862090,ok,1.0,read,0,,4.06686209,0.00048549499999950285
249,4068761649,ok,9.0,cas,0,,4.068761649,0.0018995589999999396
250,4069031938,invoke,9.0,write,0,,4.069031938,0.0002702890000003677
251,4070494810,ok,4.0,read,0,,4.07049481,0.0014628719999993933
252,4070698946,invoke,1.0,read,0,,4.070698946,0.00020413600000068755
253,4072090079,ok,6.0,write,0,,4.072090079,0.0013911329999993782
254,4072236636,invoke,6.0,cas,0,,4.072236636,0.00014655700000076877
255,4077463189,fail,7.0,cas,0,,4.077463189,0.005226552999999967
256,4077619477,fail,8.0,cas,0,,4.077619477,0.0001562879999994493
257,4077704795,ok,0.0,read,0,,4.077704795,8.531800000000089e-05
258,4077765963,ok,3.0,read,0,,4.077765963,6.116800000022238e-05
259,4077815431,invoke,7.0,cas,0,,4.077815431,4.9468000000274515e-05
260,4079218239,ok,5.0,write,0,,4.079218239,0.0014028079999999221
261,4079589381,ok,2.0,read,0,,4.079589381,0.0003711419999996579
262,4079713994,invoke,2.0,read,0,,4.079713994,0.00012461299999966258
